,index,Roster,LE_Component_1,LE_Component_2,Win_Percentage,Avg Height,Standard Deviation of Roster Height,Season,Distance
349,349,2013BOS,-0.0008949095212667983,0.0008876581598006886,0.5061728395061729,78.9,3.29,2013,-3.6256807330548794e-06
350,350,2013BRK,0.00022579888183931347,-0.000892458844700531,0.5975609756097561,79.5,3.26,2013,-0.0003333299814306088
351,351,2013CHI,0.0011697105469852058,0.0006075227914060375,0.5487804878048781,79.2,3.87,2013,0.0008886166691956217
352,352,2013CLE,-0.002180666336609449,7.332742794270648e-05,0.2926829268292683,78.7,3.4,2013,-0.0010536694543333712
353,353,2013DAL,0.0005089817226274318,0.0014177668277374324,0.5,79.4,3.78,2013,0.0009633742751824321
354,354,2013DEN,0.002263641855029926,0.0014291680158521093,0.6951219512195121,79.8,3.82,2013,0.0018464049354410177
355,355,2013DET,0.00023075305992827742,0.002613003388103388,0.35365853658536583,79.2,3.82,2013,0.0014218782240158327
356,356,2013GSW,0.0012510341549849886,-0.0005442552681922574,0.573170731707317,79.7,3.09,2013,0.00035338944339636564
357,357,2013HOU,-0.001007110274514891,0.00040673160252555974,0.5487804878048781,79.0,3.29,2013,-0.0003001893359946656
358,358,2013IND,0.0014882263899355889,0.0004768497933837797,0.6049382716049383,79.7,3.87,2013,0.0009825380916596842
359,359,2013LAC,-0.0005920552109209685,0.0018753698160718165,0.6829268292682927,78.9,3.64,2013,0.000641657302575424
360,360,2013LAL,-0.0008561524784323272,0.0008564581443940111,0.5487804878048781,79.0,3.5,2013,1.5283298084197133e-07
361,361,2013MEM,-0.0006372004681126109,0.0006027407112380363,0.6829268292682927,78.9,3.29,2013,-1.7229878437287328e-05
362,362,2013MIA,-0.0002797116971447711,-0.00012275727271461768,0.8048780487804879,79.2,3.07,2013,-0.0002012344849296944
363,363,2013MIL,0.0006958805500403144,0.0005930662292953377,0.4634146341463415,79.4,3.27,2013,0.000644473389667826
364,364,2013MIN,-0.0002841398943587484,0.003130773582490012,0.3780487804878049,78.8,4.08,2013,0.0014233168440656316
365,365,2013NOH,0.0006905352982610725,0.001047777127802261,0.32926829268292684,79.6,3.75,2013,0.0008691562130316667
366,366,2013NYK,9.928873818492118e-05,0.0006989499120166887,0.6585365853658537,79.4,3.59,2013,0.0003991193251008049
367,367,2013OKC,0.0029492820024893994,0.0006863822786288121,0.7317073170731707,80.4,3.96,2013,0.0018178321405591057
368,368,2013ORL,-0.0012710778224815737,0.0005565213524367768,0.24390243902439024,78.7,3.12,2013,-0.00035727823502239845
369,369,2013PHI,0.0002075498383240931,-0.00311836134170509,0.4146341463414634,79.6,2.7,2013,-0.0014554057516904984
370,370,2013PHO,0.001965804501586995,-0.0019278494463963224,0.3048780487804878,80.0,2.54,2013,1.8977527595336226e-05
371,371,2013POR,0.0015354425407418505,-0.00032445648344694435,0.4024390243902439,79.8,3.2,2013,0.000605493028647453
372,372,2013SAC,-0.005144276061235066,0.0032143787371079918,0.34146341463414637,77.5,4.12,2013,-0.0009649486620635372
373,373,2013SAS,0.0003709318766015513,-0.001533242073232386,0.7073170731707317,79.5,2.86,2013,-0.0005811550983154174
374,374,2013TOR,0.0008788780970235467,0.0004456557730186987,0.4146341463414634,79.5,3.44,2013,0.0006622669350211227
375,375,2013UTA,-0.0006169329010848194,-0.0006508854007299153,0.524390243902439,79.0,2.87,2013,-0.0006339091509073673
376,376,2013WAS,-0.001759078334974381,-0.001108778205006303,0.35365853658536583,78.8,2.97,2013,-0.001433928269990342
377,377,2014ATL,-0.001198758049191706,-0.0013451036628516978,0.4634146341463415,78.9,2.8,2014,-0.001271930856021702
378,378,2014BOS,-0.0019377124542346161,0.0026203666937427072,0.3048780487804878,78.4,3.73,2014,0.00034132711975404554
379,379,2014BRK,0.0036070365010042525,-0.0025642334221283427,0.5365853658536586,80.5,2.37,2014,0.0005214015394379549
380,380,2014CHI,0.002356849505423989,-0.00012621146179997965,0.5853658536585366,79.8,3.38,2014,0.0011153190218120047
381,381,2014CLE,-0.001206602599975073,7.038762373295675e-05,0.4024390243902439,78.9,3.47,2014,-0.0005681074881210582
382,382,2014DAL,-0.00037959121588748625,-0.0007388170451750774,0.5975609756097561,79.3,3.16,2014,-0.0005592041305312818
383,383,2014DEN,-0.0032087947999335526,0.005872993130837646,0.43902439024390244,77.8,4.9,2014,0.0013320991654520468
384,384,2014DET,-0.0008622224483701009,0.0029663746249963415,0.35365853658536583,78.8,3.87,2014,0.0010520760883131204
385,385,2014GSW,0.0014014743195238158,-0.0008492738613284754,0.6219512195121951,79.8,3.07,2014,0.0002761002290976702
386,386,2014HOU,0.0031232275948957274,-0.00016828742991071137,0.6585365853658537,80.3,3.31,2014,0.001477470082492508
387,387,2014IND,0.002951771742833117,-0.0012241091149653095,0.6829268292682927,80.3,3.28,2014,0.0008638313139339036
388,388,2014LAC,-0.003335027903866584,0.0023522992990913415,0.6951219512195121,78.2,3.95,2014,-0.0004913643023876212
389,389,2014LAL,0.0009158575709252045,0.00046096252284397545,0.32926829268292684,79.7,3.66,2014,0.0006884100468845899
390,390,2014MEM,0.0019364290899690718,0.00027916122419049797,0.6097560975609756,79.8,3.41,2014,0.001107795157079785
391,391,2014MIA,0.0008337353851137449,0.0005382924538701869,0.6585365853658537,79.5,3.26,2014,0.0006860139194919659
392,392,2014MIL,-1.0177307570622086e-05,-0.000437181587940626,0.18292682926829268,79.3,3.06,2014,-0.00022367944775562404
393,393,2014MIN,0.0007480221623361687,0.0011749861457364368,0.4878048780487805,79.2,3.72,2014,0.0009615041540363028
394,394,2014NOP,-0.002274826982243929,-0.000668575565078057,0.4146341463414634,78.6,3.11,2014,-0.0014717012736609931
395,395,2014NYK,0.00042962772406409175,0.0002997889504672869,0.45121951219512196,79.5,3.52,2014,0.0003647083372656893
396,396,2014OKC,0.0007955611051305463,0.001837189784041477,0.7195121951219512,79.6,3.75,2014,0.0013163754445860117
397,397,2014ORL,-0.0008012157776545116,0.0008506299171085072,0.2804878048780488,78.8,3.2,2014,2.4707069726997782e-05
398,398,2014PHI,0.001257512149989761,-0.0034010825151317824,0.23170731707317074,80.1,2.42,2014,-0.0010717851825710108
399,399,2014PHO,-0.0020098840318675875,0.0015599316735504902,0.5853658536585366,78.6,3.75,2014,-0.00022497617915854867
400,400,2014POR,0.001419260421362943,0.002507366325281892,0.6585365853658537,79.7,3.94,2014,0.0019633133733224176
401,401,2014SAC,-0.0013510903499825994,0.002199394798878285,0.34146341463414637,78.5,4.02,2014,0.0004241522244478428
402,402,2014SAS,-0.0003558407612328452,-0.0006982858173468359,0.7560975609756098,79.2,3.03,2014,-0.0005270632892898406
403,403,2014TOR,0.0005646781206195052,-0.0015542637599897612,0.5853658536585366,79.5,2.79,2014,-0.000494792819685128
404,404,2014UTA,-0.001658146959914314,0.0015606870151522094,0.3048780487804878,78.4,3.59,2014,-4.8729972381052265e-05
405,405,2014WAS,0.0021635879050573097,-0.0018469531702328013,0.5365853658536586,80.0,2.62,2014,0.0001583173674122542
406,406,2015ATL,-0.002045911954853639,-0.0018082909958012962,0.7317073170731707,78.6,2.74,2015,-0.0019271014753274676
407,407,2015BOS,-0.00022505129409982014,0.000571858642624096,0.4878048780487805,79.2,3.41,2015,0.00017340367426213796
408,408,2015BRK,0.0026549132965224677,-0.001014909413338934,0.4634146341463415,80.2,3.07,2015,0.0008200019415917668
409,409,2015CHI,0.001360144549476131,0.001394718484587545,0.6097560975609756,79.6,3.65,2015,0.001377431517031838
410,410,2015CLE,-0.0013989279561317555,-0.0006808864698444074,0.6463414634146342,79.0,3.23,2015,-0.0010399072129880815
411,411,2015DAL,4.438545450892708e-05,0.005490417337689042,0.6097560975609756,78.9,4.65,2015,0.0027674013960989844
412,412,2015DEN,0.0035325240640375123,0.0012246142176643854,0.36585365853658536,80.2,3.9,2015,0.0023785691408509486
413,413,2015DET,-0.000676721827214554,0.0023506984325371806,0.3902439024390244,78.8,3.82,2015,0.0008369883026613132
414,414,2015GSW,-0.0002705272807367958,-0.001340501737950283,0.8170731707317073,79.3,2.93,2015,-0.0008055145093435394
415,415,2015HOU,0.001983050492837342,-0.00028900464208292235,0.6829268292682927,79.9,3.17,2015,0.00084702292537721
416,416,2015IND,0.0021508146517372822,-0.0007414567101760072,0.4634146341463415,80.1,3.44,2015,0.0007046789707806375
417,417,2015LAC,0.001164544646017168,0.0016850048884246148,0.6829268292682927,79.6,3.83,2015,0.0014247747672208914
418,418,2015LAL,0.0017766369360948525,-0.0002263593187956199,0.25609756097560976,79.9,3.14,2015,0.0007751388086496163
419,419,2015MEM,0.0002556144134893337,0.0013922526618921768,0.6707317073170732,79.3,3.66,2015,0.0008239335376907552
420,420,2015MIA,9.467122276663903e-05,0.0008996358575870057,0.45121951219512196,79.3,3.52,2015,0.0004971535401768224
421,421,2015MIL,-0.00011714658839820826,-0.0008756108008670142,0.5,79.3,2.99,2015,-0.0004963786946326112
422,422,2015MIN,-0.0003813781090727689,-0.000764764506813652,0.1951219512195122,79.1,3.01,2015,-0.0005730713079432105
423,423,2015NOP,0.004303935701923919,-0.0014510893087803967,0.5487804878048781,80.7,3.22,2015,0.0014264231965717613
424,424,2015NYK,-0.0008575983654530159,0.0031317607318547755,0.2073170731707317,78.8,4.08,2015,0.0011370811832008797
425,425,2015OKC,0.0016717809943869312,0.0004189380889467205,0.5487804878048781,79.9,3.44,2015,0.0010453595416668258
426,426,2015ORL,0.0003557481537481159,0.0005038140743377001,0.3048780487804878,79.5,3.49,2015,0.000429781114042908
427,427,2015PHI,0.0008972678762270119,-0.005247942345005813,0.21951219512195122,79.9,1.56,2015,-0.0021753372343894005
428,428,2015PHO,-0.00017372429613044538,0.003907304879247379,0.47560975609756095,78.8,4.47,2015,0.001866790291558467
429,429,2015POR,0.0009411179015360122,0.0012974276492545114,0.6219512195121951,79.9,4.08,2015,0.0011192727753952618
430,430,2015SAC,0.00026413003045606617,0.0011323454701461367,0.35365853658536583,79.2,3.41,2015,0.0006982377503011014
431,431,2015SAS,-0.00034596973864215027,-0.0007176390428982041,0.6707317073170732,79.2,3.0,2015,-0.0005318043907701772
432,432,2015TOR,-0.0010107591753892751,-0.00019554521068683786,0.5975609756097561,78.9,3.14,2015,-0.0006031521930380565
433,433,2015UTA,0.0018415930202144515,-0.0009768602340087939,0.4634146341463415,79.9,3.23,2015,0.0004323663931028288
434,434,2015WAS,0.0035388285311452683,-0.0019441917965539546,0.5609756097560976,80.4,2.59,2015,0.0007973183672956569
435,435,2016ATL,-0.0027274738084954076,-0.0019289746285724222,0.5853658536585366,78.4,2.59,2016,-0.0023282242185339148
436,436,2016BOS,0.0007255345563621103,0.0031159472992180652,0.5853658536585366,79.1,4.36,2016,0.0019207409277900878
437,437,2016BRK,-0.003478214666603934,0.0008880073987827089,0.25609756097560976,78.2,3.87,2016,-0.0012951036339106125
438,438,2016CHI,-0.000338176170191581,0.0012122644588180944,0.5121951219512195,79.1,3.58,2016,0.0004370441443132567
439,439,2016CLE,-0.0003792178353892296,-0.0016814151826026328,0.6951219512195121,79.3,3.03,2016,-0.0010303165089959312
440,440,2016DAL,-0.0004944334113150755,0.005888873441114179,0.5121951219512195,78.8,4.67,2016,0.002697220014899552
441,441,2016DEN,-0.00045729555411823424,0.0013671139078432026,0.4024390243902439,79.0,3.61,2016,0.00045490917686248416
442,442,2016DET,0.0006459648905316064,-0.00124078514386887,0.5365853658536586,79.5,2.79,2016,-0.0002974101266686318
443,443,2016GSW,-0.001234408019902634,-0.0023913397642520845,0.8902439024390244,79.0,2.84,2016,-0.0018128738920773592
444,444,2016HOU,-0.002216085990682904,0.002811786781589113,0.5,78.3,3.74,2016,0.0002978503954531046
445,445,2016IND,0.0013924870822127065,-0.0014749473499555943,0.5487804878048781,79.8,2.76,2016,-4.123013387144394e-05
446,446,2016LAC,-0.003512552564705465,-0.0003570548913645329,0.6463414634146342,78.2,3.13,2016,-0.001934803728034999
447,447,2016LAL,-0.0022332882811877566,-0.0009978264412545239,0.2073170731707317,78.8,3.52,2016,-0.0016155573612211403
448,448,2016MEM,-0.0022440871921591394,0.00019905601102924764,0.5121951219512195,78.5,3.16,2016,-0.0010225155905649458
449,449,2016MIA,-0.0010481533896074013,-0.0021792241793395788,0.5853658536585366,79.2,2.9,2016,-0.00161368878447349
450,450,2016MIL,0.0016400465185224923,-0.0020222622881259306,0.4024390243902439,79.9,2.54,2016,-0.00019110788480171913
451,451,2016MIN,0.003079715858975402,-0.001735267047310081,0.35365853658536583,80.3,2.82,2016,0.0006722244058326605
452,452,2016NOP,0.0002599728930290093,0.0018831075872269263,0.36585365853658536,79.5,4.05,2016,0.0010715402401279678
453,453,2016NYK,-0.000264296895291082,3.1486028151207585e-05,0.3902439024390244,79.5,3.9,2016,-0.00011640543356993722
454,454,2016OKC,0.003831069343970102,-0.0014243131947543643,0.6707317073170732,80.5,2.93,2016,0.0012033780746078687
455,455,2016ORL,0.0033098379251835486,-0.0009670728433295987,0.4268292682926829,80.4,3.01,2016,0.001171382540926975
456,456,2016PHI,-0.0014681378449807065,0.0028191804490851225,0.12195121951219512,78.4,3.88,2016,0.000675521302052208
457,457,2016PHO,-0.001170855352930856,0.0019767238589372075,0.2804878048780488,78.9,3.93,2016,0.0004029342530031758
458,458,2016POR,0.0009216964476430088,-0.00044243955643392794,0.5365853658536586,79.6,3.11,2016,0.0002396284456045404
459,459,2016SAC,0.00027115368113432656,0.0033471289099614556,0.4024390243902439,79.2,4.1,2016,0.001809141295547891
460,460,2016SAS,0.0011779933049972254,-0.00036327075784859617,0.8170731707317073,79.6,3.05,2016,0.00040736127357431464
461,461,2016TOR,-0.0013412722415265834,-0.0005657328302369947,0.6829268292682927,78.8,3.07,2016,-0.000953502535881789
462,462,2016UTA,0.0008378810807186196,0.0008883055666692596,0.4878048780487805,79.4,3.65,2016,0.0008630933236939396
463,463,2016WAS,-0.0021437680290393507,-0.001984283985813711,0.5,78.8,2.9,2016,-0.002064026007426531
464,464,2017ATL,-0.0028362394488404205,-0.001835683725713998,0.524390243902439,78.4,2.7,2017,-0.002335961587277209
465,465,2017BOS,-0.003016820733580558,0.003838365344131884,0.6463414634146342,78.0,4.25,2017,0.0004107723052756628
466,466,2017BRK,-0.0011706736971637988,-0.002957589263254568,0.24390243902439024,79.4,3.08,2017,-0.0020641314802091835
467,467,2017CHI,0.00217262942569192,0.0004667483175436067,0.5,80.0,3.56,2017,0.0013196888716177633
468,468,2017CLE,0.0004907727069215743,-0.002844610620377833,0.6219512195121951,79.6,2.55,2017,-0.0011769189567281293
469,469,2017DAL,-0.001821480172622681,0.0037793900301092724,0.4024390243902439,78.8,4.47,2017,0.0009789549287432956
470,470,2017DEN,-0.0016019511296790083,0.0004578614775082394,0.4878048780487805,78.7,3.34,2017,-0.0005720448260853844
471,471,2017DET,-0.0011558829511831607,0.0017980051924526882,0.45121951219512196,78.8,3.55,2017,0.00032106112063476377
472,472,2017GSW,0.000280110395761902,-0.0010821341118150162,0.8170731707317073,79.5,3.22,2017,-0.0004010118580265571
473,473,2017HOU,0.001754361043680084,-0.0010599682058650853,0.6707317073170732,79.8,2.87,2017,0.0003471964189074993
474,474,2017IND,-0.0008673976737581228,0.0007392691228544495,0.5121951219512195,78.9,3.32,2017,-6.406427545183665e-05
475,475,2017LAC,-0.002803978925120894,0.0018996572802023814,0.6219512195121951,78.3,3.6,2017,-0.00045216082245925625
476,476,2017LAL,0.0010341044611836938,-0.0003117892316601662,0.3170731707317073,79.6,3.27,2017,0.0003611576147617638
477,477,2017MEM,-0.0015147786768281426,-0.000980300620420325,0.524390243902439,78.8,3.0,2017,-0.001247539648624234
478,478,2017MIA,-0.0027141755221687016,-0.0024585109109765066,0.5,78.6,3.05,2017,-0.002586343216572604
479,479,2017MIL,0.0007651719364155697,-0.0003331393367416204,0.5121951219512195,79.5,3.03,2017,0.00021601629983697464
480,480,2017MIN,-0.0019670853433615054,0.0006434370724775237,0.3780487804878049,78.7,3.46,2017,-0.0006618241354419908
481,481,2017NOP,-0.0037998733243523423,0.0017045267212211297,0.4146341463414634,78.0,3.47,2017,-0.0010476733015656063
482,482,2017NYK,0.002465526222075374,0.0007042417242319083,0.3780487804878049,80.1,3.77,2017,0.0015848839731536413
483,483,2017OKC,0.001065862185792095,-0.0006590031435664806,0.573170731707317,79.7,3.03,2017,0.00020342952111280718
484,484,2017ORL,-0.0007767467657823419,0.0017460157910416942,0.35365853658536583,78.8,3.61,2017,0.0004846345126296762
485,485,2017PHI,0.0004826882526034384,-0.000526253302261549,0.34146341463414637,79.3,2.96,2017,-2.17825248290553e-05
486,486,2017PHO,-0.002337047978390829,0.003908260935811594,0.2926829268292683,78.4,4.37,2017,0.0007856064787103826
487,487,2017POR,0.0020478053181914447,-0.00011521315112351423,0.5,80.0,3.35,2017,0.0009662960835339653
488,488,2017SAC,0.0003565089439644863,0.002993285351998962,0.3902439024390244,79.1,4.25,2017,0.0016748971479817242
489,489,2017SAS,0.001285441278074448,4.450862328815213e-05,0.7439024390243902,79.8,3.49,2017,0.0006649749506813001
490,490,2017TOR,-0.0008801633323999521,0.001974514373609762,0.6219512195121951,79.0,3.85,2017,0.0005471755206049051
491,491,2017UTA,0.0009892207149422316,-0.0031477541455361977,0.6219512195121951,79.7,2.68,2017,-0.001079266715296983
492,492,2017WAS,0.0005926407626919082,0.0007044144513130586,0.5975609756097561,79.4,3.48,2017,0.0006485276070024834
493,493,2018ATL,-0.0019061109560203433,0.00029334626833701303,0.2926829268292683,78.7,3.43,2018,-0.0008063823438416651
494,494,2018BOS,-0.0017404698390091273,-1.3298258212607468e-05,0.6707317073170732,78.6,2.95,2018,-0.0008768840486108674
495,495,2018BRK,-0.0008323834604282549,-0.0045450873693598055,0.34146341463414637,79.2,2.61,2018,-0.00268873541489403
496,496,2018CHI,0.0017694516196551224,-0.000382223330761844,0.32926829268292684,80.1,3.5,2018,0.0006936141444466392
497,497,2018CLE,-0.0013939360453920633,-0.0035463059954238068,0.6097560975609756,78.9,2.06,2018,-0.002470121020407935
498,498,2018DAL,-0.0009546403451215789,0.0073401137561690715,0.2926829268292683,78.7,5.11,2018,0.0031927367055237465
499,499,2018DEN,-0.0015294084279843375,-0.002195047421093125,0.5609756097560976,79.0,2.73,2018,-0.0018622279245387313
500,500,2018DET,-0.0029832993213530284,0.0004832026376649744,0.47560975609756095,78.3,3.22,2018,-0.001250048341844027
501,501,2018GSW,0.0013119259893708015,-0.002073135659774129,0.7073170731707317,79.8,2.65,2018,-0.0003806048352016637
502,502,2018HOU,-0.0006833875533282279,3.5251330373789474e-05,0.7926829268292683,79.0,3.2,2018,-0.0003240681114772192
503,503,2018IND,-0.0022523128616937665,0.002214529759000277,0.5853658536585366,78.4,3.73,2018,-1.889155134674478e-05
504,504,2018LAC,-0.0008157755329801224,-0.0018278393489885726,0.5121951219512195,79.1,2.65,2018,-0.0013218074409843475
505,505,2018LAL,0.001719457770075589,-0.0021812087248687458,0.4268292682926829,79.9,2.8,2018,-0.0002308754773965784
506,506,2018MEM,9.409259571086873e-05,-0.0014780135905939763,0.2682926829268293,79.4,2.95,2018,-0.0006919604974415538
507,507,2018MIA,-0.0019155522848653592,-0.0017152636612100605,0.5365853658536586,78.9,3.1,2018,-0.0018154079730377099
508,508,2018MIL,-0.0009604980211041338,0.0006149792200134597,0.5365853658536586,79.0,3.44,2018,-0.00017275940054533706
509,509,2018MIN,0.0003826777331503518,-6.363474313448141e-05,0.573170731707317,79.4,3.27,2018,0.00015952149500793517
510,510,2018NOP,-0.00368228708489675,0.002305746909144373,0.5853658536585366,78.0,3.64,2018,-0.0006882700878761885
511,511,2018NYK,0.0008361275841839592,-0.001757356941092891,0.35365853658536583,79.8,3.16,2018,-0.00046061467845446587
512,512,2018OKC,-0.00045459387686327653,-0.0033418748059980607,0.5853658536585366,79.1,2.5,2018,-0.0018982343414306686
513,513,2018ORL,-0.00297556226781575,-0.00030453807491214726,0.3048780487804878,78.2,3.07,2018,-0.0016400501713639485
514,514,2018PHI,-0.00016782180291904266,0.0007544974759955173,0.6341463414634146,79.2,3.44,2018,0.00029333783653823735
515,515,2018PHO,0.0020005317288484133,0.002832153329832934,0.25609756097560976,79.7,4.33,2018,0.002416342529340674
516,516,2018POR,-0.0013720533449804086,0.001701820785751803,0.5975609756097561,78.8,3.69,2018,0.00016488372038569717
517,517,2018SAC,0.0008094670312675603,-0.0007667815478240208,0.32926829268292684,79.7,3.25,2018,2.1342741721769765e-05
518,518,2018SAS,0.0010146431261896882,0.00023321331380448746,0.573170731707317,79.6,3.33,2018,0.0006239282199970879
519,519,2018TOR,-0.00010257130578715301,0.00196082786164886,0.7195121951219512,79.1,4.0,2018,0.0009291282779308534
520,520,2018UTA,0.0014717223264050956,-7.886909691997386e-05,0.5853658536585366,79.8,3.32,2018,0.0006964266147425609
521,521,2018WAS,0.0010234573919007753,-0.0017133522618729745,0.524390243902439,79.7,2.68,2018,-0.0003449474349860996
