Player,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,% of FGA by Distance: 2P,% of FGA by Distance: 0-3ft,% of FGA by Distance: 3-10ft,% of FGA by Distance: 10-16ft,% of FGA by Distance: 16-3P,% of FGA by Distance: 3P,FG% by Distance: 2P,FG% by Distance: 0-3ft,FG% by Distance: 3-10ft,FG% by Distance: 10-16ft,FG% by Distance: 16-3P,FG% by Distance: 3P,% of FG Ast'd: 2P,% of FG Ast'd: 3P
Precious Achiuwa,24,TOT,NBA,"C,PF",74,1624,.501,7.6,.793,.520,.215,.047,.011,.207,.562,.697,.317,.273,.200,.268,.593,.962
Santi Aldama,23,MEM,NBA,PF,61,1618,.435,15.8,.465,.211,.188,.049,.016,.535,.534,.692,.411,.393,.333,.349,.674,.962
Kyle Anderson,30,MIN,NBA,PF,79,1782,.460,9.0,.889,.192,.480,.189,.028,.111,.488,.627,.438,.476,.500,.229,.511,1.000
Giannis Antetokounmpo,29,MIL,NBA,PF,73,2567,.611,6.7,.909,.519,.251,.068,.072,.091,.645,.818,.452,.323,.374,.274,.509,.500
Thanasis Antetokounmpo,31,MIL,NBA,PF,34,155,.533,3.7,.967,.767,.167,.000,.033,.033,.552,.609,.400,,.000,.000,.750,
Paolo Banchero,21,ORL,NBA,PF,80,2799,.455,12.6,.751,.225,.235,.183,.108,.249,.493,.703,.403,.395,.421,.339,.363,.655
Dominick Barlow,20,SAS,NBA,PF,33,420,.496,7.4,.920,.398,.257,.221,.044,.080,.510,.578,.483,.480,.200,.333,.698,1.000
Harrison Barnes,31,SAC,NBA,PF,82,2381,.474,15.9,.474,.182,.223,.052,.018,.526,.571,.684,.515,.421,.538,.387,.631,.966
Nicolas Batum,35,TOT,NBA,PF,60,1529,.453,19.0,.277,.191,.043,.027,.016,.723,.606,.653,.636,.429,.250,.395,.628,1.000
Darius Bazley,23,TOT,NBA,"C,PF",9,152,.600,9.9,.733,.333,.333,.067,.000,.267,.727,.900,.600,.500,,.250,.500,1.000
Dāvis Bertāns,31,TOT,NBA,PF,43,674,.393,23.7,.145,.064,.038,.004,.038,.855,.471,.600,.444,.000,.333,.380,.938,.961
Bojan Bogdanović,34,TOT,NBA,"PF,SF",57,1478,.454,16.7,.510,.117,.181,.140,.072,.490,.507,.625,.480,.484,.429,.398,.648,.872
Bol Bol,24,PHO,NBA,PF,43,469,.616,13.4,.656,.185,.272,.146,.053,.344,.717,.929,.683,.591,.500,.423,.789,1.000
Chris Boucher,31,TOR,NBA,PF,50,705,.507,12.4,.567,.373,.166,.009,.018,.433,.642,.765,.417,.500,.250,.330,.595,1.000
Greg Brown III,22,DAL,NBA,PF,6,40,.455,8.5,.727,.636,.091,.000,.000,.273,.500,.571,.000,,,.333,.750,1.000
Kobe Brown,24,LAC,NBA,PF,44,394,.411,15.5,.467,.289,.111,.056,.011,.533,.548,.654,.400,.200,1.000,.292,.652,1.000
Jimmy Butler,34,MIA,NBA,PF,60,2042,.499,9.7,.817,.267,.356,.139,.055,.183,.519,.679,.465,.391,.409,.414,.452,.800
Jamal Cain,24,MIA,NBA,PF,26,259,.430,13.2,.608,.215,.253,.101,.038,.392,.479,.647,.350,.375,.667,.355,.652,.727
Toumani Camara,23,POR,NBA,PF,70,1739,.450,11.6,.607,.352,.224,.023,.009,.393,.523,.643,.367,.300,.250,.337,.504,1.000
Brandon Clarke,27,MEM,NBA,PF,6,134,.559,9.2,.898,.254,.373,.186,.085,.102,.604,.600,.682,.545,.400,.167,.781,1.000
Noah Clowney,19,BRK,NBA,PF,23,370,.538,10.5,.645,.419,.215,.011,.000,.355,.633,.795,.300,1.000,,.364,.763,1.000
John Collins,26,UTA,NBA,PF,68,1901,.532,11.0,.689,.303,.304,.043,.039,.311,.605,.783,.493,.438,.276,.371,.730,.988
Robert Covington,33,TOT,NBA,"PF,SF",29,488,.439,16.4,.429,.245,.143,.031,.010,.571,.571,.625,.571,.333,.000,.339,.750,1.000
Jae Crowder,33,MIL,NBA,PF,50,1156,.422,18.6,.385,.104,.148,.059,.074,.615,.538,.714,.475,.500,.450,.349,.893,.966
Mamadi Diakite,27,TOT,NBA,"C,PF",6,24,.667,7.8,.833,.500,.333,.000,.000,.167,.800,.667,1.000,,,.000,1.000,
Ousmane Dieng,20,OKC,NBA,PF,33,365,.422,17.5,.397,.190,.129,.043,.034,.603,.609,.818,.333,.400,.750,.300,.857,1.000
Kevin Durant,35,PHO,NBA,PF,75,2791,.523,15.0,.717,.125,.153,.279,.160,.283,.567,.827,.530,.491,.530,.413,.511,.815
Tari Eason,22,HOU,NBA,PF,22,480,.466,9.9,.735,.434,.185,.069,.048,.265,.504,.561,.371,.462,.556,.360,.471,1.000
Dorian Finney-Smith,30,BRK,NBA,PF,68,1934,.421,17.6,.342,.225,.096,.012,.010,.658,.560,.687,.306,.667,.000,.348,.745,.974
Wenyen Gabriel,26,MEM,NBA,PF,5,81,.364,8.6,.727,.545,.091,.091,.000,.273,.438,.500,.500,.000,,.167,.714,1.000
Daniel Gafford,25,TOT,NBA,"C,PF",74,1815,.725,2.8,1.000,.667,.302,.027,.004,.000,.725,.813,.566,.385,.500,,.761,
Danilo Gallinari,35,TOT,NBA,"PF,SF",49,630,.437,17.8,.511,.142,.116,.153,.100,.489,.546,.852,.409,.517,.316,.323,.528,.867
Usman Garuba,21,GSW,NBA,PF,6,18,.167,7.2,.833,.333,.500,.000,.000,.167,.200,.500,.000,,,.000,.000,
Paul George,33,LAC,NBA,PF,74,2502,.471,17.7,.524,.128,.125,.122,.150,.476,.523,.703,.448,.523,.432,.413,.448,.733
Taj Gibson,38,TOT,NBA,"C,PF",20,204,.405,10.6,.730,.351,.216,.081,.081,.270,.481,.462,.250,1.000,.667,.200,.615,1.000
Anthony Gill,31,WAS,NBA,PF,50,466,.469,9.5,.744,.356,.338,.044,.006,.256,.546,.667,.426,.429,1.000,.244,.692,1.000
Aaron Gordon,28,DEN,NBA,PF,73,2297,.556,7.4,.807,.554,.183,.053,.017,.193,.619,.738,.382,.263,.417,.290,.642,.850
Jerami Grant,29,POR,NBA,PF,54,1830,.451,13.2,.675,.214,.255,.096,.109,.325,.474,.599,.406,.415,.441,.402,.445,.973
RaiQuan Gray,24,SAS,NBA,PF,3,39,.588,12.8,.588,.235,.353,.000,.000,.412,.700,.750,.667,,,.429,.571,1.000
Draymond Green,33,GSW,NBA,PF,55,1490,.497,11.6,.653,.293,.296,.056,.008,.347,.551,.670,.500,.143,1.000,.395,.769,.941
Jeff Green,37,HOU,NBA,PF,78,1307,.456,14.5,.563,.199,.260,.077,.027,.437,.553,.767,.453,.500,.100,.331,.737,.943
Mouhamadou Gueye,25,TOR,NBA,PF,11,120,.289,6.0,.921,.395,.474,.026,.026,.079,.314,.467,.222,.000,.000,.000,.727,
Mouhamed Gueye,21,ATL,NBA,PF,6,73,.348,11.6,.609,.348,.217,.043,.000,.391,.357,.500,.200,.000,,.333,1.000,1.000
Rui Hachimura,25,LAL,NBA,PF,68,1826,.537,12.6,.657,.296,.197,.090,.072,.343,.597,.810,.398,.525,.367,.422,.796,.990
Ron Harper Jr.,23,TOR,NBA,PF,1,4,,,,,,,,,,,,,,,,
Tobias Harris,31,PHI,NBA,PF,70,2368,.487,11.9,.729,.268,.251,.140,.069,.271,.537,.686,.431,.511,.394,.353,.444,.956
Taylor Hendricks,20,UTA,NBA,PF,40,856,.450,16.5,.417,.158,.196,.038,.025,.583,.550,.737,.447,.667,.000,.379,.545,1.000
Haywood Highsmith,27,MIA,NBA,PF,66,1366,.465,16.6,.416,.191,.179,.027,.018,.584,.562,.667,.475,.667,.167,.396,.636,.987
Richaun Holmes,30,TOT,NBA,"C,PF",40,555,.558,3.9,.980,.578,.361,.041,.000,.020,.563,.694,.396,.167,,.333,.716,1.000
Matthew Hurt,23,MEM,NBA,PF,8,113,.353,19.5,.412,.088,.118,.029,.176,.588,.500,.667,.500,.000,.500,.250,.571,1.000
Jonathan Isaac,26,ORL,NBA,PF,58,914,.510,12.6,.608,.395,.091,.056,.066,.392,.598,.717,.385,.375,.368,.375,.654,.976
GG Jackson II,19,MEM,NBA,PF,48,1233,.428,15.7,.492,.263,.149,.039,.041,.508,.502,.676,.333,.227,.261,.357,.576,.863
Trayce Jackson-Davis,23,GSW,NBA,PF,68,1130,.702,2.5,.997,.648,.343,.006,.000,.003,.704,.777,.561,1.000,,.000,.751,
LeBron James,39,LAL,NBA,PF,71,2504,.540,11.6,.714,.345,.217,.078,.073,.286,.592,.772,.482,.313,.366,.410,.435,.685
Cameron Johnson,27,BRK,NBA,PF,58,1599,.446,17.5,.430,.170,.126,.073,.061,.570,.519,.724,.410,.378,.342,.391,.601,.957
James Johnson,36,IND,NBA,PF,9,47,.300,11.1,.800,.200,.400,.200,.000,.200,.375,1.000,.250,.000,,.000,.333,
Nikola Jović,20,MIA,NBA,PF,46,896,.452,16.7,.420,.178,.196,.032,.014,.580,.525,.600,.509,.222,.500,.399,.694,.892
Jonathan Kuminga,21,GSW,NBA,PF,74,1949,.529,9.4,.809,.296,.364,.109,.039,.191,.578,.749,.519,.394,.353,.321,.615,.906
Kyle Kuzma,28,WAS,NBA,PF,70,2281,.463,13.7,.657,.206,.272,.117,.062,.343,.530,.789,.451,.357,.341,.336,.538,.788
Jake LaRavia,22,MEM,NBA,PF,35,806,.389,15.7,.485,.218,.218,.023,.026,.515,.442,.591,.303,.571,.250,.340,.569,.887
E.J. Liddell,23,NOP,NBA,PF,8,23,.167,22.1,.167,.167,.000,.000,.000,.833,1.000,1.000,,,,.000,1.000,
Isaiah Livers,25,DET,NBA,PF,23,469,.345,19.2,.336,.155,.086,.017,.078,.664,.462,.667,.300,.000,.333,.286,.778,1.000
Kenneth Lofton Jr.,21,TOT,NBA,PF,21,199,.462,13.5,.692,.192,.256,.128,.115,.308,.537,.800,.500,.300,.444,.292,.517,1.000
Kevin Love,35,MIA,NBA,PF,55,924,.440,19.4,.320,.139,.142,.011,.028,.680,.643,.780,.569,.750,.300,.344,.622,.988
Trey Lyles,28,SAC,NBA,PF,58,1158,.445,18.8,.318,.178,.100,.022,.019,.682,.578,.754,.375,.571,.000,.384,.729,1.000
Lauri Markkanen,26,UTA,NBA,PF,55,1820,.480,15.7,.507,.175,.240,.061,.030,.493,.559,.724,.500,.389,.407,.399,.742,.983
Evan Mobley,22,CLE,NBA,PF,50,1532,.580,6.5,.893,.464,.337,.065,.027,.107,.604,.770,.462,.361,.133,.373,.725,1.000
Isaiah Mobley,24,CLE,NBA,PF,10,72,.417,12.3,.583,.375,.167,.042,.000,.417,.500,.778,.000,.000,,.300,.429,1.000
Marcus Morris,34,TOT,NBA,PF,49,817,.439,18.1,.549,.072,.121,.178,.178,.451,.469,.684,.375,.511,.404,.403,.471,.938
Markieff Morris,34,DAL,NBA,PF,26,216,.338,20.4,.382,.044,.103,.118,.118,.618,.308,.333,.429,.250,.250,.357,.500,.867
Pete Nance,23,CLE,NBA,PF,8,27,.167,10.2,.833,.333,.167,.333,.000,.167,.000,.000,.000,.000,,1.000,,1.000
Georges Niang,30,CLE,NBA,PF,82,1831,.449,17.9,.373,.120,.196,.049,.008,.627,.572,.684,.524,.548,.200,.376,.741,.973
Zeke Nnaji,23,DEN,NBA,PF,58,576,.463,6.1,.846,.597,.215,.027,.007,.154,.500,.584,.313,.250,.000,.261,.619,1.000
Drew Peterson,24,BOS,NBA,PF,3,23,.667,21.3,.167,.167,.000,.000,.000,.833,1.000,1.000,,,,.600,1.000,1.000
Aleksej Pokusevski,22,TOT,NBA,PF,28,405,.405,15.0,.545,.231,.207,.033,.074,.455,.470,.786,.280,.500,.000,.327,.774,1.000
Jontay Porter,24,TOR,NBA,PF,26,360,.385,16.8,.423,.231,.096,.077,.019,.577,.455,.542,.600,.000,.500,.333,.650,1.000
Bobby Portis,28,MIL,NBA,PF,82,2008,.508,12.9,.732,.215,.218,.198,.101,.268,.545,.731,.485,.478,.409,.407,.552,.980
Micah Potter,25,UTA,NBA,PF,16,186,.475,14.4,.475,.200,.275,.000,.000,.525,.526,.625,.455,,,.429,.600,1.000
Taurean Prince,29,LAL,NBA,PF,78,2108,.442,17.8,.378,.128,.168,.059,.023,.622,.519,.699,.438,.441,.308,.396,.866,.943
Olivier-Maxence Prosper,21,DAL,NBA,PF,40,336,.385,12.8,.567,.356,.135,.038,.038,.433,.458,.595,.214,.000,.500,.289,.704,1.000
Julius Randle,29,NYK,NBA,PF,46,1630,.472,11.7,.708,.266,.291,.115,.037,.292,.539,.689,.469,.406,.419,.311,.423,.868
Jeremiah Robinson-Earl,23,NOP,NBA,PF,39,334,.474,13.0,.589,.284,.211,.063,.032,.411,.571,.630,.500,.833,.000,.333,.750,1.000
David Roddy,22,TOT,NBA,PF,65,1177,.403,12.7,.599,.291,.247,.049,.012,.401,.478,.639,.356,.250,.000,.293,.598,.979
Luka Šamanić,24,UTA,NBA,PF,43,404,.380,12.5,.595,.215,.373,.006,.000,.405,.500,.735,.356,1.000,,.203,.681,1.000
Adama Sanogo,21,CHI,NBA,PF,9,66,.519,3.1,1.000,.556,.407,.037,.000,.000,.519,.667,.273,1.000,,,.500,
Gui Santos,21,GSW,NBA,PF,23,192,.509,13.9,.509,.345,.164,.000,.000,.491,.643,.737,.444,,,.370,.667,.900
Admiral Schofield,26,ORL,NBA,PF,23,84,.385,18.2,.385,.192,.115,.000,.077,.615,.400,.600,.000,,.500,.375,.500,1.000
Pascal Siakam,29,TOT,NBA,PF,80,2657,.536,9.9,.806,.304,.312,.129,.061,.194,.581,.739,.515,.445,.423,.346,.507,.976
Jabari Smith Jr.,20,HOU,NBA,PF,76,2424,.454,16.1,.544,.187,.140,.142,.074,.456,.530,.686,.479,.458,.371,.363,.617,.949
Jeremy Sochan,20,SAS,NBA,PF,74,2193,.438,11.0,.707,.332,.256,.084,.035,.293,.492,.659,.362,.292,.333,.308,.596,.986
Lamar Stevens,26,TOT,NBA,"PF,SF",38,559,.450,10.5,.808,.308,.242,.188,.071,.192,.485,.622,.414,.400,.353,.304,.543,1.000
Isaiah Stewart,22,DET,NBA,PF,46,1423,.487,13.5,.542,.301,.212,.018,.010,.458,.575,.635,.519,.429,.250,.383,.723,1.000
Jayson Tatum,25,BOS,NBA,PF,74,2645,.471,15.4,.573,.222,.167,.092,.092,.427,.542,.741,.441,.389,.397,.376,.357,.485
Terry Taylor,24,CHI,NBA,PF,31,188,.513,7.5,.769,.564,.179,.026,.000,.231,.600,.636,.571,.000,,.222,.667,1.000
JT Thor,21,CHO,NBA,PF,63,781,.437,13.6,.557,.344,.109,.060,.044,.443,.510,.651,.200,.364,.375,.346,.712,1.000
Xavier Tillman Sr.,25,TOT,NBA,"C,PF",54,974,.434,10.3,.710,.337,.294,.061,.018,.290,.510,.617,.415,.412,.400,.247,.812,1.000
Obi Toppin,25,IND,NBA,PF,82,1730,.573,12.7,.563,.378,.157,.026,.002,.437,.706,.808,.516,.400,.000,.403,.796,.990
Karl-Anthony Towns,28,MIN,NBA,PF,62,2026,.504,12.7,.656,.258,.290,.063,.045,.344,.550,.690,.471,.450,.395,.416,.641,.971
Oscar Tshiebwe,24,IND,NBA,PF,8,42,.500,5.0,1.000,.350,.550,.000,.100,.000,.500,.571,.455,,.500,,.800,
P.J. Tucker,38,TOT,NBA,PF,31,486,.360,18.2,.300,.140,.100,.020,.040,.700,.333,.571,.000,.000,.500,.371,.600,1.000
Hunter Tyson,23,DEN,NBA,PF,18,48,.400,20.9,.300,.100,.050,.050,.100,.700,.667,.500,1.000,.000,1.000,.286,1.000,1.000
Jarred Vanderbilt,24,LAL,NBA,PF,29,581,.518,8.1,.763,.474,.272,.018,.000,.237,.586,.685,.452,.000,,.296,.706,1.000
Sasha Vezenkov,28,SAC,NBA,PF,42,511,.440,17.7,.372,.199,.141,.021,.010,.628,.549,.763,.333,.000,.500,.375,.795,.978
Dean Wade,27,CLE,NBA,PF,54,1108,.414,22.6,.129,.073,.013,.017,.026,.871,.567,.765,.000,.500,.333,.391,.647,.987
Jarace Walker,20,IND,NBA,PF,33,340,.409,17.4,.500,.164,.136,.082,.118,.500,.418,.500,.267,.556,.385,.400,.565,.818
P.J. Washington,25,TOT,NBA,PF,73,2221,.436,15.4,.491,.200,.239,.039,.012,.509,.558,.722,.454,.438,.300,.320,.797,.955
Trendon Watford,23,BRK,NBA,PF,63,856,.527,9.5,.781,.305,.392,.061,.023,.219,.564,.705,.492,.421,.286,.397,.431,.963
Grant Williams,25,TOT,NBA,PF,76,2130,.456,16.5,.445,.183,.165,.079,.017,.555,.558,.793,.400,.375,.400,.375,.740,.952
Jalen Williams,22,OKC,NBA,PF,71,2223,.540,11.9,.757,.261,.241,.171,.085,.243,.576,.730,.473,.529,.488,.427,.404,.748
Kenrich Williams,29,OKC,NBA,PF,69,1029,.468,15.4,.496,.296,.104,.039,.057,.504,.540,.699,.379,.182,.250,.397,.733,.964
Patrick Williams,22,CHI,NBA,PF,43,1174,.443,14.6,.588,.267,.128,.092,.100,.412,.474,.573,.326,.485,.389,.399,.550,.966
Zion Williamson,23,NOP,NBA,PF,70,2207,.570,4.0,.984,.547,.404,.030,.003,.016,.574,.717,.396,.394,.333,.333,.474,.833
D.J. Wilson,27,PHI,NBA,PF,2,15,.667,10.3,.667,.333,.333,.000,.000,.333,.500,1.000,.000,,,1.000,1.000,1.000
Jalen Wilson,23,BRK,NBA,PF,43,664,.425,14.0,.587,.229,.251,.084,.022,.413,.495,.683,.356,.400,.500,.324,.615,1.000
Christian Wood,28,LAL,NBA,PF,50,872,.466,13.8,.568,.261,.223,.042,.042,.432,.587,.812,.424,.455,.182,.307,.761,.971
Thaddeus Young,35,TOT,NBA,PF,33,439,.602,4.8,.935,.528,.333,.065,.009,.065,.634,.667,.611,.429,1.000,.143,.734,1.000
