,Roster,Standard Deviation of Roster Height
0,2001ATL,4.73
1,2001BOS,3.68
2,2001CHH,3.83
3,2001CHI,3.6
4,2001CLE,2.62
5,2001DAL,4.48
6,2001DEN,3.65
7,2001DET,4.03
8,2001GSW,3.39
9,2001HOU,3.42
10,2001IND,3.44
11,2001LAC,2.89
12,2001LAL,3.16
13,2001MIA,3.52
14,2001MIL,2.97
15,2001MIN,3.74
16,2001NJN,3.38
17,2001NYK,3.14
18,2001ORL,3.55
19,2001PHI,3.99
20,2001PHO,3.92
21,2001POR,4.9
22,2001SAC,4.03
23,2001SAS,4.19
24,2001SEA,3.44
25,2001TOR,3.14
26,2001UTA,3.96
27,2001VAN,3.23
28,2001WAS,2.62
29,2002ATL,3.4
30,2002BOS,3.55
31,2002CHH,3.81
32,2002CHI,2.91
33,2002CLE,3.32
34,2002DAL,4.69
35,2002DEN,3.97
36,2002DET,4.13
37,2002GSW,2.5
38,2002HOU,3.42
39,2002IND,3.81
40,2002LAC,5.06
41,2002LAL,3.53
42,2002MEM,4.49
43,2002MIA,3.53
44,2002MIL,3.28
45,2002MIN,3.77
46,2002NJN,3.1
47,2002NYK,3.16
48,2002ORL,3.57
49,2002PHI,4.41
50,2002PHO,3.05
51,2002POR,3.87
52,2002SAC,3.87
53,2002SAS,3.48
54,2002SEA,3.36
55,2002TOR,3.12
56,2002UTA,3.42
57,2002WAS,3.82
58,2003ATL,3.88
59,2003BOS,3.77
60,2003CHI,3.17
61,2003CLE,3.85
62,2003DAL,4.45
63,2003DEN,2.16
64,2003DET,3.49
65,2003GSW,5.06
66,2003HOU,4.31
67,2003IND,3.0
68,2003LAC,2.83
69,2003LAL,3.01
70,2003MEM,3.6
71,2003MIA,4.18
72,2003MIL,2.71
73,2003MIN,3.53
74,2003NJN,2.65
75,2003NOH,3.37
76,2003NYK,2.87
77,2003ORL,3.56
78,2003PHI,3.52
79,2003PHO,2.62
80,2003POR,4.5
81,2003SAC,4.11
82,2003SAS,3.41
83,2003SEA,2.79
84,2003TOR,2.57
85,2003UTA,3.75
86,2003WAS,3.63
87,2004ATL,3.1
88,2004BOS,4.35
89,2004CHI,2.62
90,2004CLE,3.12
91,2004DAL,4.58
92,2004DEN,5.44
93,2004DET,3.75
94,2004GSW,4.36
95,2004HOU,4.31
96,2004IND,3.38
97,2004LAC,3.28
98,2004LAL,3.23
99,2004MEM,3.53
100,2004MIA,3.01
101,2004MIL,3.44
102,2004MIN,3.04
103,2004NJN,2.4
104,2004NOH,3.9
105,2004NYK,3.38
106,2004ORL,3.49
107,2004PHI,3.08
108,2004PHO,3.04
109,2004POR,3.85
110,2004SAC,3.98
111,2004SAS,3.23
112,2004SEA,3.03
113,2004TOR,2.32
114,2004UTA,4.12
115,2004WAS,3.44
116,2005ATL,3.95
117,2005BOS,3.12
118,2005CHA,4.13
119,2005CHI,3.49
120,2005CLE,3.38
121,2005DAL,4.22
122,2005DEN,5.33
123,2005DET,3.04
124,2005GSW,3.87
125,2005HOU,4.61
126,2005IND,3.53
127,2005LAC,2.65
128,2005LAL,3.66
129,2005MEM,3.53
130,2005MIA,3.34
131,2005MIL,3.63
132,2005MIN,3.78
133,2005NJN,4.05
134,2005NOH,3.64
135,2005NYK,2.33
136,2005ORL,3.65
137,2005PHI,2.91
138,2005PHO,2.91
139,2005POR,4.68
140,2005SAC,3.03
141,2005SAS,3.11
142,2005SEA,3.16
143,2005TOR,2.94
144,2005UTA,2.87
145,2005WAS,2.97
146,2006ATL,3.67
147,2006BOS,2.33
148,2006CHA,4.32
149,2006CHI,3.28
150,2006CLE,3.72
151,2006DAL,3.47
152,2006DEN,5.39
153,2006DET,3.21
154,2006GSW,3.4
155,2006HOU,5.0
156,2006IND,3.11
157,2006LAC,2.86
158,2006LAL,2.49
159,2006MEM,4.64
160,2006MIA,3.27
161,2006MIL,4.09
162,2006MIN,3.03
163,2006NJN,3.26
164,2006NOK,3.8
165,2006NYK,4.34
166,2006ORL,3.86
167,2006PHI,3.41
168,2006PHO,3.17
169,2006POR,3.97
170,2006SAC,2.9
171,2006SAS,3.49
172,2006SEA,3.36
173,2006TOR,3.13
174,2006UTA,3.17
175,2006WAS,2.56
176,2007ATL,4.31
177,2007BOS,3.3
178,2007CHA,4.48
179,2007CHI,3.14
180,2007CLE,3.96
181,2007DAL,3.47
182,2007DEN,3.18
183,2007DET,2.58
184,2007GSW,2.72
185,2007HOU,4.42
186,2007IND,3.49
187,2007LAC,3.03
188,2007LAL,2.93
189,2007MEM,4.27
190,2007MIA,3.29
191,2007MIL,5.3
192,2007MIN,3.03
193,2007NJN,3.63
194,2007NOK,3.92
195,2007NYK,4.63
196,2007ORL,3.94
197,2007PHI,3.61
198,2007PHO,2.69
199,2007POR,2.99
200,2007SAC,2.8
201,2007SAS,3.17
202,2007SEA,4.37
203,2007TOR,3.81
204,2007UTA,3.05
205,2007WAS,2.72
206,2008ATL,3.07
207,2008BOS,3.35
208,2008CHA,5.14
209,2008CHI,3.14
210,2008CLE,3.89
211,2008DAL,3.45
212,2008DEN,3.9
213,2008DET,2.3
214,2008GSW,2.66
215,2008HOU,4.52
216,2008IND,3.32
217,2008LAC,4.2
218,2008LAL,3.66
219,2008MEM,4.82
220,2008MIA,3.74
221,2008MIL,3.73
222,2008MIN,2.83
223,2008NJN,2.98
224,2008NOH,4.18
225,2008NYK,4.29
226,2008ORL,3.67
227,2008PHI,3.06
228,2008PHO,2.96
229,2008POR,3.58
230,2008SAC,3.69
231,2008SAS,3.26
232,2008SEA,3.5
233,2008TOR,3.69
234,2008UTA,2.28
235,2008WAS,2.52
236,2009ATL,3.13
237,2009BOS,3.41
238,2009CHA,3.85
239,2009CHI,2.79
240,2009CLE,4.01
241,2009DAL,3.96
242,2009DEN,3.53
243,2009DET,3.19
244,2009GSW,2.94
245,2009HOU,4.35
246,2009IND,4.61
247,2009LAC,3.26
248,2009LAL,3.53
249,2009MEM,3.98
250,2009MIA,2.91
251,2009MIL,3.72
252,2009MIN,2.72
253,2009NJN,3.29
254,2009NOH,3.5
255,2009NYK,4.05
256,2009OKC,3.23
257,2009ORL,3.81
258,2009PHI,3.07
259,2009PHO,3.09
260,2009POR,3.52
261,2009SAC,3.6
262,2009SAS,2.61
263,2009TOR,2.71
264,2009UTA,3.44
265,2009WAS,2.87
266,2010ATL,3.06
267,2010BOS,3.58
268,2010CHA,3.74
269,2010CHI,3.24
270,2010CLE,4.35
271,2010DAL,4.47
272,2010DEN,3.68
273,2010DET,3.45
274,2010GSW,3.32
275,2010HOU,3.5
276,2010IND,4.39
277,2010LAC,3.35
278,2010LAL,3.66
279,2010MEM,4.13
280,2010MIA,3.28
281,2010MIL,3.38
282,2010MIN,3.38
283,2010NJN,3.33
284,2010NOH,3.66
285,2010NYK,4.31
286,2010OKC,3.05
287,2010ORL,3.69
288,2010PHI,2.74
289,2010PHO,3.41
290,2010POR,2.62
291,2010SAC,2.82
292,2010SAS,2.65
293,2010TOR,3.03
294,2010UTA,2.62
295,2010WAS,5.33
296,2011ATL,2.96
297,2011BOS,4.42
298,2011CHA,3.2
299,2011CHI,3.1
300,2011CLE,3.58
301,2011DAL,4.41
302,2011DEN,3.58
303,2011DET,3.55
304,2011GSW,3.22
305,2011HOU,2.91
306,2011IND,3.44
307,2011LAC,3.83
308,2011LAL,3.49
309,2011MEM,2.97
310,2011MIA,4.47
311,2011MIL,5.26
312,2011MIN,2.83
313,2011NJN,3.41
314,2011NOH,3.46
315,2011NYK,3.07
316,2011OKC,3.14
317,2011ORL,3.26
318,2011PHI,3.08
319,2011PHO,2.96
320,2011POR,2.83
321,2011SAC,2.81
322,2011SAS,2.98
323,2011TOR,2.9
324,2011UTA,3.37
325,2011WAS,3.21
326,2012ATL,2.56
327,2012BOS,3.2
328,2012CHA,3.85
329,2012CHI,3.97
330,2012CLE,3.14
331,2012DAL,4.09
332,2012DEN,4.13
333,2012DET,3.07
334,2012GSW,4.09
335,2012HOU,3.21
336,2012IND,3.87
337,2012LAC,3.51
338,2012LAL,3.79
339,2012MEM,3.38
340,2012MIA,2.95
341,2012MIL,3.2
342,2012MIN,3.77
343,2012NJN,3.28
344,2012NOH,2.79
345,2012NYK,3.23
346,2012OKC,3.17
347,2012ORL,3.67
348,2012PHI,3.14
349,2012PHO,3.97
350,2012POR,3.31
351,2012SAC,4.11
352,2012SAS,2.77
353,2012TOR,2.97
354,2012UTA,2.73
355,2012WAS,3.03
356,2013ATL,2.91
357,2013BOS,3.29
358,2013BRK,3.26
359,2013CHA,3.8
360,2013CHI,3.87
361,2013CLE,3.4
362,2013DAL,3.78
363,2013DEN,3.82
364,2013DET,3.82
365,2013GSW,3.09
366,2013HOU,3.29
367,2013IND,3.87
368,2013LAC,3.64
369,2013LAL,3.5
370,2013MEM,3.29
371,2013MIA,3.07
372,2013MIL,3.27
373,2013MIN,4.08
374,2013NOH,3.75
375,2013NYK,3.59
376,2013OKC,3.96
377,2013ORL,3.12
378,2013PHI,2.7
379,2013PHO,2.54
380,2013POR,3.2
381,2013SAC,4.12
382,2013SAS,2.86
383,2013TOR,3.44
384,2013UTA,2.87
385,2013WAS,2.97
386,2014ATL,2.8
387,2014BOS,3.73
388,2014BRK,2.37
389,2014CHA,3.25
390,2014CHI,3.38
391,2014CLE,3.47
392,2014DAL,3.16
393,2014DEN,4.9
394,2014DET,3.87
395,2014GSW,3.07
396,2014HOU,3.31
397,2014IND,3.28
398,2014LAC,3.95
399,2014LAL,3.66
400,2014MEM,3.41
401,2014MIA,3.26
402,2014MIL,3.06
403,2014MIN,3.72
404,2014NOP,3.11
405,2014NYK,3.52
406,2014OKC,3.75
407,2014ORL,3.2
408,2014PHI,2.42
409,2014PHO,3.75
410,2014POR,3.94
411,2014SAC,4.02
412,2014SAS,3.03
413,2014TOR,2.79
414,2014UTA,3.59
415,2014WAS,2.62
416,2015ATL,2.74
417,2015BOS,3.41
418,2015BRK,3.07
419,2015CHI,3.65
420,2015CHO,3.67
421,2015CLE,3.23
422,2015DAL,4.65
423,2015DEN,3.9
424,2015DET,3.82
425,2015GSW,2.93
426,2015HOU,3.17
427,2015IND,3.44
428,2015LAC,3.83
429,2015LAL,3.14
430,2015MEM,3.66
431,2015MIA,3.52
432,2015MIL,2.99
433,2015MIN,3.01
434,2015NOP,3.22
435,2015NYK,4.08
436,2015OKC,3.44
437,2015ORL,3.49
438,2015PHI,1.56
439,2015PHO,4.47
440,2015POR,4.08
441,2015SAC,3.41
442,2015SAS,3.0
443,2015TOR,3.14
444,2015UTA,3.23
445,2015WAS,2.59
446,2016ATL,2.59
447,2016BOS,4.36
448,2016BRK,3.87
449,2016CHI,3.58
450,2016CHO,3.98
451,2016CLE,3.03
452,2016DAL,4.67
453,2016DEN,3.61
454,2016DET,2.79
455,2016GSW,2.84
456,2016HOU,3.74
457,2016IND,2.76
458,2016LAC,3.13
459,2016LAL,3.52
460,2016MEM,3.16
461,2016MIA,2.9
462,2016MIL,2.54
463,2016MIN,2.82
464,2016NOP,4.05
465,2016NYK,3.9
466,2016OKC,2.93
467,2016ORL,3.01
468,2016PHI,3.88
469,2016PHO,3.93
470,2016POR,3.11
471,2016SAC,4.1
472,2016SAS,3.05
473,2016TOR,3.07
474,2016UTA,3.65
475,2016WAS,2.9
476,2017ATL,2.7
477,2017BOS,4.25
478,2017BRK,3.08
479,2017CHI,3.56
480,2017CHO,4.07
481,2017CLE,2.55
482,2017DAL,4.47
483,2017DEN,3.34
484,2017DET,3.55
485,2017GSW,3.22
486,2017HOU,2.87
487,2017IND,3.32
488,2017LAC,3.6
489,2017LAL,3.27
490,2017MEM,3.0
491,2017MIA,3.05
492,2017MIL,3.03
493,2017MIN,3.46
494,2017NOP,3.47
495,2017NYK,3.77
496,2017OKC,3.03
497,2017ORL,3.61
498,2017PHI,2.96
499,2017PHO,4.37
500,2017POR,3.35
501,2017SAC,4.25
502,2017SAS,3.49
503,2017TOR,3.85
504,2017UTA,2.68
505,2017WAS,3.48
506,2018ATL,3.43
507,2018BOS,2.95
508,2018BRK,2.61
509,2018CHI,3.5
510,2018CHO,3.28
511,2018CLE,2.06
512,2018DAL,5.11
513,2018DEN,2.73
514,2018DET,3.22
515,2018GSW,2.65
516,2018HOU,3.2
517,2018IND,3.73
518,2018LAC,2.65
519,2018LAL,2.8
520,2018MEM,2.95
521,2018MIA,3.1
522,2018MIL,3.44
523,2018MIN,3.27
524,2018NOP,3.64
525,2018NYK,3.16
526,2018OKC,2.5
527,2018ORL,3.07
528,2018PHI,3.44
529,2018PHO,4.33
530,2018POR,3.69
531,2018SAC,3.25
532,2018SAS,3.33
533,2018TOR,4.0
534,2018UTA,3.32
535,2018WAS,2.68
536,2019ATL,3.44
537,2019BOS,2.96
538,2019BRK,2.24
539,2019CHI,3.48
540,2019CHO,3.48
541,2019CLE,2.28
542,2019DAL,3.2
543,2019DEN,2.83
544,2019DET,3.72
545,2019GSW,3.04
546,2019HOU,2.57
547,2019IND,3.28
548,2019LAC,2.54
549,2019LAL,3.31
550,2019MEM,3.26
551,2019MIA,2.94
552,2019MIL,3.41
553,2019MIN,3.52
554,2019NOP,2.86
555,2019NYK,2.93
556,2019OKC,2.8
557,2019ORL,3.47
558,2019PHI,3.26
559,2019PHO,2.61
560,2019POR,3.82
561,2019SAC,3.53
562,2019SAS,3.4
563,2019TOR,3.71
564,2019UTA,3.04
565,2019WAS,2.2
566,2020ATL,2.6
567,2020BOS,2.79
568,2020BRK,2.61
569,2020CHI,3.58
570,2020CHO,3.07
571,2020CLE,2.65
572,2020DAL,3.71
573,2020DEN,2.83
574,2020DET,3.32
575,2020GSW,2.89
576,2020HOU,2.16
577,2020IND,3.41
578,2020LAC,2.95
579,2020LAL,3.35
580,2020MEM,3.33
581,2020MIA,2.96
582,2020MIL,3.92
583,2020MIN,3.38
584,2020NOP,3.05
585,2020NYK,2.69
586,2020OKC,3.52
587,2020ORL,3.52
588,2020PHI,2.24
589,2020PHO,3.5
590,2020POR,2.97
591,2020SAC,3.62
592,2020SAS,3.38
593,2020TOR,3.86
594,2020UTA,3.71
595,2020WAS,4.57
596,2021ATL,2.57
597,2021BOS,3.07
598,2021BRK,2.98
599,2021CHI,2.53
600,2021CHO,3.03
601,2021CLE,3.1
602,2021DAL,4.18
603,2021DEN,3.64
604,2021DET,2.32
605,2021GSW,2.11
606,2021HOU,2.33
607,2021IND,3.26
608,2021LAC,3.19
609,2021LAL,2.73
610,2021MEM,3.2
611,2021MIA,2.45
612,2021MIL,4.07
613,2021MIN,3.58
614,2021NOP,3.77
615,2021NYK,3.03
616,2021OKC,3.13
617,2021ORL,2.11
618,2021PHI,3.35
619,2021PHO,4.0
620,2021POR,3.13
621,2021SAC,2.68
622,2021SAS,2.76
623,2021TOR,3.53
624,2021UTA,3.51
625,2021WAS,4.25
626,2022ATL,3.01
627,2022BOS,2.82
628,2022BRK,3.23
629,2022CHI,1.55
630,2022CHO,2.32
631,2022CLE,3.57
632,2022DAL,3.33
633,2022DEN,3.62
634,2022DET,2.11
635,2022GSW,2.66
636,2022HOU,2.37
637,2022IND,2.2
638,2022LAC,3.49
639,2022LAL,2.62
640,2022MEM,3.49
641,2022MIA,3.09
642,2022MIL,2.46
643,2022MIN,3.08
644,2022NOP,3.32
645,2022NYK,3.26
646,2022OKC,3.2
647,2022ORL,3.29
648,2022PHI,2.93
649,2022PHO,3.66
650,2022POR,3.07
651,2022SAC,3.05
652,2022SAS,2.73
653,2022TOR,2.59
654,2022UTA,3.94
655,2022WAS,2.62
656,2023ATL,3.24
657,2023BOS,3.08
658,2023BRK,3.41
659,2023CHI,2.24
660,2023CHO,3.29
661,2023CLE,3.07
662,2023DAL,2.33
663,2023DEN,2.73
664,2023DET,2.12
665,2023GSW,1.96
666,2023HOU,2.73
667,2023IND,2.97
668,2023LAC,2.8
669,2023LAL,3.16
670,2023MEM,3.41
671,2023MIA,2.47
672,2023MIL,3.52
673,2023MIN,3.41
674,2023NOP,2.93
675,2023NYK,3.67
676,2023OKC,1.78
677,2023ORL,3.87
678,2023PHI,2.91
679,2023PHO,3.23
680,2023POR,2.9
681,2023SAC,2.83
682,2023SAS,3.14
683,2023TOR,3.41
684,2023UTA,4.04
685,2023WAS,3.46
686,2024ATL,2.57
687,2024BOS,3.96
688,2024BRK,2.79
689,2024CHI,2.68
690,2024CHO,2.84
691,2024CLE,3.16
692,2024DAL,2.71
693,2024DEN,2.66
694,2024DET,2.72
695,2024GSW,2.76
696,2024HOU,3.68
697,2024IND,2.91
698,2024LAC,2.62
699,2024LAL,2.46
700,2024MEM,2.77
701,2024MIA,2.64
702,2024MIL,3.5
703,2024MIN,4.32
704,2024NOP,2.04
705,2024NYK,3.01
706,2024OKC,2.49
707,2024ORL,3.03
708,2024PHI,3.74
709,2024PHO,3.11
710,2024POR,2.89
711,2024SAC,2.6
712,2024SAS,3.73
713,2024TOR,2.84
714,2024UTA,3.7
715,2024WAS,2.87
